ExamI,ExamII,ExamIII,FinalExam,FinalGrade,Year
69.72,74.93,63.69,77.22,81.12,2007
32.54,53.17,50.59,60.42,68.29,2007
104.76,96.95,87.78,85.3,92.29,2007
51.54,51.15,73.9,57.02,74.18,2007
87.9,67.69,71.38,63.49,79.53,2007
99.08,65.43,70.56,67.89,77.74,2007
78.56,64.41,82.94,91.23,88.56,2007
50.2,37.65,60.95,63.3,72.38,2007
70.54,69.8,75.92,70.62,82.35,2007
47.22,49.54,67.6,59.49,70.82,2007
66.88,70.17,76.9,65.89,78.69,2007
76.08,63.91,59.58,68.55,80.4,2007
70.24,72.8,82.9,74.89,83.38,2007
74.06,66.8,80.2,72.1,81.78,2007
80.06,79.8,73.22,71.96,81.09,2007
68.38,83.56,93.42,83.1,86.71,2007
76.56,62.17,76.35,58.89,76.15,2007
74.72,71.8,51.71,59.5,76.09,2007
98.08,79.93,77.22,93.7,91.86,2007
81.9,79.43,67.38,91.83,86.97,2007
90.74,75.67,77.06,83.43,86.61,2007
67.06,76.93,76.65,52.62,77.64,2007
54.06,41.65,68.88,49.75,68.12,2007
71.22,73.54,82.74,77.77,85.32,2007
72.4,82.45,67.65,59.12,77.74,2007
80.74,70.3,80.56,67.82,77.18,2007
37.06,45.17,61.31,60.95,70.38,2007
73.74,80.56,70.22,76.29,80.48,2007
82.56,90.69,87.24,87.23,88.73,2007
68.06,66.04,58,73.09,79.59,2007
74.74,70.67,73.02,65.1,79.81,2007
63.22,62.17,57.2,77.62,79.23,2007
56.22,57.04,77.1,69.62,79.09,2007
92.08,75.93,65.52,57.89,75.1,2007
105.76,90.06,102.1,96.03,97.02,2007
72.7,60.62,65.3,55.49,75.99,2008
69.05,80.49,72.19,77.62,81.48,2008
49.5,52.65,76.69,52.29,68.79,2008
84.6,89.7,100.08,92.4,94.12,2008
77.1,55.49,68.43,61.76,76.73,2008
71.95,56.9,64.69,58.02,69.74,2008
79.7,83.55,99.33,81.63,90.26,2008
72,66.99,74.19,56.02,77.3,2008
60.5,63.15,81.43,76.02,82.11,2008
65,67.24,80.45,68.56,79.07,2008
53.75,65.99,76.19,58.3,74.64,2008
88.45,84.55,84.32,84.97,88.51,2008
55.4,58.74,56.93,52.55,73.57,2008
68,63.83,87.32,51.22,75.66,2008
81.6,70.21,78.95,71.5,80.8,2008
57.5,73.95,67.93,49.49,70.33,2008
57.65,43.99,59.8,56.62,69.29,2008
86.1,72.93,84.19,75.23,85.82,2008
93.7,81.33,87.82,80.16,90.4,2008
66.55,63.28,68.56,58.15,76.53,2008
82.7,82.14,79.19,84.7,86.53,2008
72.55,66.43,62.43,63.7,74.96,2008
87.6,78.61,78.32,72.96,86.61,2008
75.25,74.89,71.19,49.89,76.46,2008
70.15,70.99,86.58,70.82,81.12,2008
36.15,29.81,52.67,36.69,58.86,2008
57.95,63.18,92.08,60.55,77.68,2008
58.4,71.68,71.32,55.21,74.32,2008
81.1,80.71,77.56,65.09,79.2,2008
43.9,84.55,84.45,62.83,78.11,2008
80.75,64.93,90.32,77.1,86.57,2008
81.15,72.21,74.93,70.97,83.53,2008
94.45,92.27,91.7,89.36,92.24,2008
85.1,72.21,94.45,78.97,85.08,2008
84.45,90.86,80.69,72.56,84.25,2008
71.25,72.39,82.95,65.76,81.87,2008
77.85,66.61,80.95,60.42,78.03,2008
76.16,81.98,84.19,68.56,79.55,2009
71.56,65.08,80.69,85.904,84.51,2009
71.04,67.08,69.43,69.232,76.85,2009
72.93,59.3,64.93,72.696,75.58,2009
61.16,55.58,52.02,56.016,68.06,2009
74.17,79.42,92.95,72.296,83.08,2009
81.56,79.36,87.56,79.896,86.26,2009
65.17,64.58,78.56,70.832,78.38,2009
60.54,49.24,33.02,34.544,52.49,2009
81.82,71.02,100.08,59.36,79.69,2009
72.67,37.24,69.19,63.232,74.9,2009
78.18,84.48,82.43,74.832,82.66,2009
91.47,89.26,93.32,97.24,93.71,2009
50.42,37.9,65.41,53.088,66.68,2009
81.56,67.98,89.82,72.624,75.69,2009
74.43,70.08,69.54,79.36,81.29,2009
86.06,75.14,90.82,86.032,87.97,2009
81.81,86.92,85.69,80.704,87.12,2009
86.06,64.58,81.19,70.168,80.82,2009
78.18,56.02,86.19,67.224,79.25,2009
87.69,61.86,90.82,73.76,82.26,2009
88.19,82.14,91.45,79.368,82.96,2009
66.17,41.8,43.78,32.816,58.94,2009
72.06,57.3,89.82,71.76,78.22,2009
74.17,67.3,74.8,74.168,78.89,2009
67.18,57.52,72.8,70.096,76.26,2009
55.93,95.26,95.95,84.304,78.51,2009
76.55,77.14,86.82,82.696,86.72,2009
93.57,93.26,88.32,91.368,92.87,2009
72.43,54.08,71.56,71.824,77.23,2009
73.05,50.68,88.95,80.704,82.12,2009
59.82,49.52,63.17,62.296,72.4,2009
85.69,77.92,90.82,81.896,86.74,2009
77.83,66,84,60.56,75.8,2010
80,78,73.33,66.97,80.06,2010
92.83,92,92,72.7,89.57,2010
75.83,77.33,80.67,54.56,75.91,2010
94.67,95,96.67,80.7,93.3,2010
64.67,62.33,73.33,61.89,74.86,2010
76.67,68.67,79.33,66.3,77.44,2010
74.33,75.67,56.33,55.89,73.26,2010
76.17,72.33,87.33,71.77,82.93,2010
73.83,69.33,66.67,54.7,74.65,2010
88.87,73,93.33,78.96,86.65,2010
79.33,76,74,61.09,77.8,2010
57.17,54.33,76,41.75,66.96,2010
46.83,59.33,88,60.3,72.4,2010
68.5,66,81.33,58.7,76.48,2010
71.33,69,61.33,43.62,64.49,2010
78.5,58,46,41.88,61.92,2010
44.5,81.33,84.67,72.3,78.91,2010
68.33,61.33,63.67,51.63,68.81,2010
54.67,58,66,52.29,68.49,2010
75.17,72,68.67,65.36,76.85,2010
57.67,64,72.67,60.3,73.44,2010
77.67,74.33,81.33,67.9,79.33,2010
77.17,71.67,56,64.96,66.95,2010
77.5,78,90,74.3,85.04,2010
80.17,72.33,80.67,66.02,80.07,2010
71,56.67,74.67,56.02,72.57,2010
85.83,50.67,76,60.7,75.71,2010
81.83,76,86,82.83,86.27,2010
75,60.67,70,67.96,75.67,2010
92.5,83,80.67,84.57,88.05,2010
62.83,78.67,82,56.96,76.67,2010
86.5,76.67,88,74.83,84.76,2010
91.33,86.67,37.33,52.15,71.37,2010
47.5,61.33,70.67,50.55,67.3,2010
62.17,59,66,53.76,70.27,2010
93,77.87,85,76.3,81.57,2011
79,69.5,80.33,78.7,79.31,2011
75.33,81.83,75,61.22,73.22,2011
73,83,76.67,76.56,78.16,2011
85.33,93.33,94,86.17,88.59,2011
57.67,57.67,56.33,41.75,58.29,2011
65,61.5,43.33,19.87,47.19,2011
87,79.33,77.67,57.09,74.68,2011
91.67,82.83,87.33,98.3,91.02,2011
77.33,70.67,78.67,75.63,78.74,2011
83.67,94.67,89.33,83.9,87.97,2011
81,89.5,94,86.56,87.72,2011
65,76.17,45.33,54.82,63.52,2011
82,72.33,78.33,80.17,81.22,2011
93,90.33,94.67,90.97,90.94,2011
76.67,93.5,84,90.17,86.88,2011
56.67,79,74.33,70.96,75.31,2011
80,77.17,61.33,60.82,69.84,2011
66,44.17,41,62.42,59.76,2011
75,56.17,53.33,73.36,70.37,2011
76.33,66.67,67.67,64.82,68.69,2011
85.33,75.83,76,53.78,74.71,2011
62.33,46,53.67,48.82,60.68,2011
84.67,87.67,85.33,71.1,82.49,2011
55,70.17,49.67,31.61,54.1,2011
91.33,87.5,85,73.9,84.23,2011
74.67,67.33,74.33,68.3,75.68,2011
